Key,SourceString
"Settings.Audio.Volume.Ambient_Description","TODO(Actual Description Needed)\r\nType: Slider [0, 100]"
"Settings.Audio.Volume.Voice","Voice Volume"
"Settings.Audio.Volume.Voice_Description","TODO(Actual Description Needed)\r\nType: Slider [0, 100]"
"Settings.Audio.Subtitles","Subtitles"
"Settings.Audio.Subtitles_Description","List of available language options"
"Settings.Controls.MoveForward","Move Forward"
"Settings.Controls.MoveForward_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.MoveBackward","Move Backward"
"Settings.Controls.MoveBackward_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.MoveLeftward","Move Leftward"
"Settings.Controls.MoveLeftward_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.MoveRightward","Move Rightward"
"Settings.Controls.MoveRightward_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.RotateLeft","Rotate Left"
"Settings.Controls.RotateLeft_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.RotateRight","Rotate Right"
"Settings.Controls.RotateRight_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.Interact","Interact"
"Settings.Controls.Interact_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.PauseMenu","Pause Menu"
"Settings.Controls.PauseMenu_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.GameMenu","Game Menu"
"Settings.Controls.GameMenu_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.GameMenu.Inventory","Game Menu - Inventory Shortcut"
"Settings.Controls.GameMenu.Inventory_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.GameMenu.Map","Game Menu - Map Shortcut"
"Settings.Controls.GameMenu.Map_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.GameMenu.QuestLog","Game Menu - Quest Log Shortcut"
"Settings.Controls.GameMenu.QuestLog_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.Zoom","Zoom"
"Settings.Controls.Zoom_Description","TODO: Not sure if this is needed. Analog key selector, or two buttoned key selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.UI.AcceptOrEnter","UI Accept Or UI Enter"
"Settings.Controls.UI.AcceptOrEnter_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.UI.CancelOrBack","UI Cancel Or UI Back"
"Settings.Controls.UI.CancelOrBack_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.UI.NextTab","UI Next Tab"
"Settings.Controls.UI.NextTab_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.UI.PreviousTab","UI Previous Tab"
"Settings.Controls.UI.PreviousTab_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.UI.InnerNextTab","UI Next Inner Tab"
"Settings.Controls.UI.InnerNextTab_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.UI.InnerPreviousTab","UI Previous Inner Tab"
"Settings.Controls.UI.InnerPreviousTab_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.UI.NavigateUp","UI Navigation: Up"
"Settings.Controls.UI.NavigateUp_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.UI.NavigateDown","UI Navigation: Down"
"Settings.Controls.UI.NavigateDown_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.UI.NavigateLeft","UI Navigation: Left"
"Settings.Controls.UI.NavigateLeft_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Controls.UI.NavigateRight","UI Navigation: Right"
"Settings.Controls.UI.NavigateRight_Description","TODO(Actual Description Needed)\r\nType: Discrete Key Selector, with two alts for each input type. Explicit tags for each alt is not needed"
"Settings.Interface.UIScaling","UI Scaling"
"Settings.Interface.UIScaling_Description","TODO(Actual Description Needed)\r\nType: Slider [0.5, 4]"
"Settings.Interface.ShowObjectiveMarkers","Show Objective Markers"
"Settings.Interface.ShowObjectiveMarkers_Description","TODO(Actual Description Needed)\r\nType: CheckBox"
